ccd_id,atom_ids_changed
004,Y
00C,Y
00E,N
00I,N
00S,N
011,Y
01B,Y
01W,Y
02A,Y
02G,Y
02J,Y
02K,N
02N,N
02V,Y
02Y,Y
03E,Y
03O,N
03Y,N
04D,Y
04Q,Y
04X,Y
05N,Y
05O,Y
05W,Y
060,Y
06E,N
08M,Y
0A0,Y
0A1,Y
0A9,Y
0AF,Y
0AK,Y
0AR,Y
0BN,Y
0CS,N
0DQ,N
0E5,Y
0EA,Y
0EH,Y
0FL,Y
0HQ,N
0JT,Y
0JU,Y
0JY,Y
0LF,Y
0MG,Y
0OB,N
0QE,N
0QZ,N
0TD,Y
0TJ,N
0UO,Y
0UZ,Y
0W6,Y
0WZ,Y
0XL,Y
0XM,N
0XN,N
0XO,Y
0XQ,Y
0Y8,Y
0Y9,Y
0YA,N
0YG,Y
11Q,Y
13E,Y
175,Y
192,Y
193,Y
19W,Y
1AC,N
1C3,Y
1E3,Y
1HB,Y
1HD,Y
1JM,Y
1KC,Y
1MH,Y
1OL,Y
1OP,Y
1PA,N
1QI,Y
1TQ,N
1TX,Y
1TY,N
1U8,Y
1VR,Y
1XY,N
1Y6,N
1ZN,Y
200,N
22G,Y
22Q,N
22W,Y
23F,Y
23P,Y
23S,Y
24M,Y
24O,Y
28H,N
28J,Y
28K,N
2A1,Y
2AG,N
2AS,N
2CO,N
2DO,Y
2GX,Y
2HF,N
2IQ,Y
2JH,Y
2JN,Y
2KT,Y
2KY,Y
2L5,Y
2L6,Y
2LT,N
2ML,N
2MR,N
2MT,N
2N2,N
2OP,Y
2OR,Y
2QY,Y
2QZ,Y
2R1,Y
2R3,Y
2RA,N
2RX,Y
2SO,N
2TL,N
2TY,N
2UC,N
2UE,N
30F,Y
32L,Y
32S,Y
32T,Y
33S,Y
33X,N
34E,N
34H,N
3A0,Y
3A5,Y
3AZ,Y
3BY,N
3CF,Y
3CT,N
3EG,N
3FB,Y
3FG,Y
3GL,Y
3MY,Y
3PA,N
3PX,Y
3QN,Y
3TY,Y
3U0,N
3V2,Y
3V3,Y
3V8,Y
3WS,N
3WT,Y
3WU,Y
3WX,N
3YM,Y
3ZH,Y
40A,Y
40C,Y
40G,Y
40T,Y
41H,Y
41Q,Y
42Y,Y
432,Y
45F,N
45W,Y
4AF,Y
4AK,N
4AR,Y
4AW,N
4BA,Y
4BF,Y
4CF,Y
4CG,Y
4CY,Y
4D4,Y
4DB,Y
4DP,N
4F3,Y
4FB,Y
4FO,Y
4FU,Y
4FW,N
4G6,Y
4H0,N
4HH,N
4HL,N
4HP,N
4HT,N
4II,Y
4IN,Y
4J2,Y
4J5,Y
4KY,N
4L0,Y
4LJ,N
4LT,N
4LZ,Y
4M9,Y
4MM,Y
4NT,Y
4NU,Y
4OG,Y
4OU,Y
4PH,N
4PQ,Y
4QK,Y
4V0,Y
4WQ,Y
51T,Y
54C,Y
55I,Y
56A,Y
56J,N
5BV,Y
5CT,Y
5CW,N
5DW,Y
5F0,Y
5GG,Y
5GM,Y
5JP,N
5MW,Y
5OH,Y
5OL,Y
5OM,Y
5OW,Y
5PG,N
5PV,N
5R0,N
5R5,N
5SQ,Y
5T3,Y
5VV,Y
5XU,Y
5ZA,Y
60F,Y
60H,N
62H,Y
65T,N
66C,Y
66D,Y
66E,Y
69P,N
6A0,Y
6BR,Y
6CL,N
6CV,N
6CW,N
6D6,N
6DN,N
6DU,Y
6FL,N
6J9,N
6KM,Y
6L3,N
6RK,Y
6V9,Y
6VA,Y
6VF,Y
6VO,Y
6ZS,Y
707,N
73C,Y
73N,Y
73O,Y
73P,Y
74P,Y
7BB,Y
7C9,Y
7CC,Y
7ID,N
7MD,Y
7N8,Y
