prd_id,prd_updated,prdcc_updated
PRD_000001,Y,Y
PRD_000006,Y,Y
PRD_000007,Y,Y
PRD_000009,Y,Y
PRD_000010,Y,Y
PRD_000011,Y,Y
PRD_000106,N,Y
PRD_000108,N,Y
PRD_000109,N,N
PRD_000110,N,Y
PRD_000142,N,N
PRD_000150,N,Y
PRD_000151,N,Y
PRD_000152,N,Y
PRD_000153,N,Y
PRD_000154,N,Y
PRD_000156,N,N
PRD_000157,N,N
PRD_000158,N,N
PRD_000159,N,N
PRD_000160,N,Y
PRD_000161,N,N
PRD_000162,N,Y
PRD_000163,N,N
PRD_000180,N,Y
PRD_000183,Y,Y
PRD_000186,N,N
PRD_000187,N,Y
PRD_000193,N,Y
PRD_000194,N,N
PRD_000195,N,Y
PRD_000196,N,Y
PRD_000197,Y,Y
PRD_000198,Y,Y
PRD_000199,N,Y
PRD_000200,N,N
PRD_000203,N,Y
PRD_000204,N,Y
PRD_000205,N,Y
PRD_000206,N,Y
PRD_000207,N,Y
PRD_000209,N,Y
PRD_000210,N,Y
PRD_000211,N,Y
PRD_000212,Y,Y
PRD_000213,Y,Y
PRD_000214,Y,Y
PRD_000215,Y,Y
PRD_000220,N,Y
PRD_000221,N,Y
PRD_000222,N,Y
PRD_000223,N,N
PRD_000224,Y,Y
PRD_000225,N,Y
PRD_000226,N,Y
PRD_000227,N,Y
PRD_000228,N,Y
PRD_000235,N,Y
PRD_000241,N,Y
PRD_000245,N,Y
PRD_000250,N,Y
PRD_000252,N,Y
PRD_000257,N,Y
PRD_000259,N,Y
PRD_000266,N,Y
PRD_000267,N,Y
PRD_000268,N,Y
PRD_000280,N,Y
PRD_000281,N,Y
PRD_000282,N,Y
PRD_000284,N,Y
PRD_000289,N,Y
PRD_000290,N,Y
PRD_000291,Y,Y
PRD_000292,Y,Y
PRD_000293,N,Y
PRD_000298,N,Y
PRD_000300,N,Y
PRD_000301,N,Y
PRD_000306,N,Y
PRD_000313,N,Y
PRD_000314,N,N
PRD_000315,N,Y
PRD_000316,N,Y
PRD_000317,N,N
PRD_000318,N,Y
PRD_000319,N,Y
PRD_000330,Y,Y
PRD_000331,N,Y
PRD_000332,Y,Y
PRD_000344,N,Y
PRD_000346,N,Y
PRD_000347,N,Y
PRD_000355,N,Y
PRD_000362,N,Y
PRD_000387,Y,Y
PRD_000395,Y,Y
PRD_000396,N,Y
PRD_000405,N,Y
PRD_000407,N,Y
PRD_000409,N,N
PRD_000411,N,Y
PRD_000415,N,Y
PRD_000420,N,Y
PRD_000422,N,Y
PRD_000425,N,Y
PRD_000427,N,Y
PRD_000428,Y,Y
PRD_000429,N,Y
PRD_000430,N,Y
PRD_000431,N,Y
PRD_000456,Y,Y
PRD_000464,Y,Y
PRD_000472,N,Y
PRD_000474,N,Y
PRD_000476,N,Y
PRD_000477,N,Y
PRD_000482,N,Y
PRD_000484,N,Y
PRD_000485,N,Y
PRD_000487,N,Y
PRD_000503,N,N
PRD_000504,N,N
PRD_000505,N,Y
PRD_000507,N,Y
PRD_000553,Y,Y
PRD_000554,Y,Y
PRD_000555,Y,Y
PRD_000557,N,Y
PRD_000561,Y,Y
PRD_000616,N,Y
PRD_000671,Y,Y
PRD_000672,Y,Y
PRD_000673,Y,Y
PRD_000674,Y,Y
PRD_000693,N,Y
PRD_000694,N,N
PRD_000723,N,Y
PRD_000724,N,Y
PRD_000725,N,Y
PRD_000726,N,Y
PRD_000727,Y,Y
PRD_000728,N,Y
PRD_000734,N,N
PRD_000755,N,Y
PRD_000758,N,N
PRD_000759,N,N
PRD_000760,N,N
PRD_000762,N,N
PRD_000765,N,N
PRD_000767,N,N
PRD_000768,N,N
PRD_000770,Y,Y
PRD_000771,N,Y
PRD_000772,N,Y
PRD_000777,N,Y
PRD_000778,N,N
PRD_000779,N,N
PRD_000780,N,Y
PRD_000781,Y,Y
PRD_000785,Y,Y
PRD_000786,N,Y
PRD_000793,N,Y
PRD_000794,N,Y
PRD_000808,N,Y
PRD_000812,N,Y
PRD_000813,N,Y
PRD_000814,Y,Y
PRD_000815,N,Y
PRD_000816,N,Y
PRD_000823,Y,Y
PRD_000828,N,Y
PRD_000842,Y,Y
PRD_000846,Y,Y
PRD_000854,N,Y
PRD_000855,N,Y
PRD_000857,Y,Y
PRD_000882,N,Y
PRD_000891,N,Y
PRD_000892,N,N
PRD_000893,N,N
PRD_000894,Y,Y
PRD_000895,Y,Y
PRD_000896,Y,Y
PRD_000897,Y,Y
PRD_000898,N,Y
PRD_000901,Y,Y
